id,name,phone,nationalId,agency,prizeWon
50,"Destiny Sanchez","0901000050","123456789050","Aura Realty",""
51,"Cole Morris","0901000051","123456789051","Titan Luxury",""
52,"Paige Rogers","0901000052","123456789052","MT group",""
53,"Caleb Reed","0901000053","123456789053","New Sky Land",""
54,"Jenna Cook","0901000054","123456789054","Fuji Land",""
55,"Ian Morgan","0901000055","123456789055","Haka Holding",""
56,"Mackenzie Bell","0901000056","123456789056","Phú Lâm",""
57,"Trevor Murphy","0901000057","123456789057","GC Land",""
58,"Haley Bailey","0901000058","123456789058","Đất xanh Bắc Trung Bộ",""
59,"Gavin Rivera","0901000059","123456789059","Cenland Bắc Trung Bộ",""
60,"Maya Cooper","0901000060","123456789060","Bhomes",""
61,"Hunter Richardson","0901000061","123456789061","Tân Long",""
62,"Kaitlyn Cox","0901000062","123456789062","Fivestar",""
63,"Blake Howard","0901000063","123456789063","Hoàng Huy NT",""
64,"Leah Ward","0901000064","123456789064","Âu Lạc Land",""
65,"Connor Torres","0901000065","123456789065","City Homes",""
66,"Gabrielle Peterson","0901000066","123456789066","Xứ Nghệ homes",""
67,"Devon Gray","0901000067","123456789067","SVLand",""
68,"Savannah Ramirez","0901000068","123456789068","RealLand",""
69,"Chase James","0901000069","123456789069","Aura Realty",""
70,"Brooke Watson","0901000070","123456789070","Titan Luxury",""
71,"Landon Brooks","0901000071","123456789071","MT group",""
72,"Taylor Kelly","0901000072","123456789072","New Sky Land",""
73,"Peyton Sanders","0901000073","123456789073","Fuji Land",""
74,"Katelyn Price","0901000074","123456789074","Haka Holding",""
75,"Mason Bennett","0901000075","123456789075","Phú Lâm",""
76,"Sydney Wood","0901000076","123456789076","GC Land",""
77,"Logan Barnes","0901000077","123456789077","Đất xanh Bắc Trung Bộ",""
78,"Jordyn Ross","0901000078","123456789078","Cenland Bắc Trung Bộ",""
79,"Ethan Henderson","0901000079","123456789079","Bhomes",""
80,"Mariah Coleman","0901000080","123456789080","Tân Long",""
81,"Parker Jenkins","0901000081","123456789081","Fivestar",""
82,"Jocelyn Perry","0901000082","123456789082","Hoàng Huy NT",""
83,"Ashton Powell","0901000083","123456789083","Âu Lạc Land",""
84,"Skylar Long","0901000084","123456789084","City Homes","giai-nhat"
85,"Bryce Patterson","0901000085","123456789085","Xứ Nghệ homes",""
86,"Autumn Hughes","0901000086","123456789086","SVLand",""
87,"Tristan Flores","0901000087","123456789087","RealLand",""
88,"Isabel Washington","0901000088","123456789088","Aura Realty",""
89,"Zachary Butler","0901000089","123456789089","Titan Luxury",""
90,"Layla Simmons","0901000090","123456789090","MT group",""
91,"Dominic Foster","0901000091","123456789091","New Sky Land",""
92,"Ariana Gonzales","0901000092","123456789092","Fuji Land",""
93,"Jaden Bryant","0901000093","123456789093","Haka Holding",""
94,"Kendall Alexander","0901000094","123456789094","Phú Lâm",""
95,"Xavier Russell","0901000095","123456789095","GC Land",""
96,"Kylie Griffin","0901000096","123456789096","Đất xanh Bắc Trung Bộ",""
97,"Julian Diaz","0901000097","123456789097","Cenland Bắc Trung Bộ",""
98,"Melody Hayes","0901000098","123456789098","Bhomes",""
99,"Owen Myers","0901000099","123456789099","Tân Long",""
100,"Natalie Ford","0901000100","123456789100","Fivestar",""
